Record Type,Federal School ID,County,District,School,Latitude,Longitude,Street Address,Street City,Street State,Street Zip,Name Classification,Spanish?,Person Occupation,notes
School,00041,Alameda,Alameda Unified,Alameda High,37.764958,-122.245935,2200 Central Ave.,Alameda,CA,94501-4406,place,n,,
School,00059,Alameda,Albany City Unified,Albany High,37.896661,-122.292572,603 Key Route Blvd.,Albany,CA,94706-1422,place,n,,
School,00432,Alameda,Berkeley Unified,Berkeley High,37.868913,-122.2712,1980 Allston Way,Berkeley,CA,94704-1463,place,n,,
School,00742,Alameda,Castro Valley Unified,Castro Valley High,37.705184,-122.078478,19400 Santa Maria Ave.,Castro Valley,CA,94546-3400,place,n,,
School,09273,Alameda,Dublin Unified,Dublin High,37.720996,-121.926391,8151 Village Pkwy.,Dublin,CA,94568-1656,place,n,,
School,14675,Alameda,Dublin Unified,Emerald High,37.708709,-121.863666,3600 Central Pkwy.,Dublin,CA,94568-7558,place,n,,
School,01426,Alameda,Emery Unified,Emery Secondary,37.835405,-122.282707,1100 Steve Dain Dr.,Emeryville,CA,94608-2908,place,n,,
School,01654,Alameda,Fremont Unified,American High,37.563645,-122.017475,36300 Fremont Blvd.,Fremont,CA,94536-3511,other,n,,
School,01672,Alameda,Fremont Unified,John F. Kennedy High,37.528399,-121.983122,39999 Blacow Rd.,Fremont,CA,94538-1913,person,n,politician,
School,01678,Alameda,Fremont Unified,Mission San Jose High,37.54504,-121.931934,41717 Palm Ave.,Fremont,CA,94539-4799,place,y,,
School,01692,Alameda,Fremont Unified,Washington High,37.552082,-121.994844,38442 Fremont Blvd.,Fremont,CA,94536-6031,person,n,politician,
School,02116,Alameda,Hayward Unified,Hayward High,37.672677,-122.069923,1633 East Ave.,Hayward,CA,94541-5314,place,n,,
School,02124,Alameda,Hayward Unified,Mt. Eden High,37.625313,-122.090566,2300 Panama St.,Hayward,CA,94545-4662,place,n,,
School,02135,Alameda,Hayward Unified,Tennyson High,37.642546,-122.065969,27035 Whitman Rd.,Hayward,CA,94544-4099,person,n,writer,
School,02626,Alameda,Livermore Valley Joint Unified,Granada High,37.675206,-121.789841,400 Wall St.,Livermore,CA,94550-4066,other,y,,
School,02630,Alameda,Livermore Valley Joint Unified,Livermore High,37.680526,-121.76173,600 Maple St.,Livermore,CA,94550-3298,place,n,,
School,04072,Alameda,New Haven Unified,James Logan High,37.592494,-122.02604,1800 H St.,Union City,CA,94587-3321,person,n,explorer,
School,04085,Alameda,Newark Unified,Newark Memorial High,37.522095,-122.001754,39375 Cedar Blvd.,Newark,CA,94560-5007,place,n,,
School,12992,Alameda,Oakland Unified,Castlemont High,37.759536,-122.162913,8601 MacArthur Blvd.,Oakland,CA,94605-4037,other,n,,
School,13062,Alameda,Oakland Unified,Fremont High,37.7744,-122.209724,4610 Foothill Blvd.,Oakland,CA,94601-4618,place,n,,
School,11555,Alameda,Oakland Unified,McClymonds High,37.817864,-122.278634,2607 Myrtle St.,Oakland,CA,94607-3415,person,n,school leadership,
School,04304,Alameda,Oakland Unified,Oakland High,37.80529,-122.236526,1023 MacArthur Blvd.,Oakland,CA,94610-3930,place,n,,
School,04305,Alameda,Oakland Unified,Oakland Technical High,37.831725,-122.254136,4351 Broadway,Oakland,CA,94611-4612,place,n,,
School,04315,Alameda,Oakland Unified,Skyline High,37.797495,-122.163608,12250 Skyline Blvd.,Oakland,CA,94619-2425,other,n,,
School,04731,Alameda,Piedmont City Unified,Piedmont High,37.823674,-122.232904,800 Magnolia Ave.,Piedmont,CA,94611-4029,place,n,,
School,05842,Alameda,San Leandro Unified,San Leandro High,37.717128,-122.142565,2200 Bancroft Ave.,San Leandro,CA,94577-6108,place,y,,
School,08786,Amador,Amador County Unified,Amador High,38.398775,-120.809703,330 Spanish St.,Sutter Creek,CA,95685-9701,place,n,,
School,08787,Amador,Amador County Unified,Argonaut High,38.353826,-120.791777,501 Argonaut Ln.,Jackson,CA,95642-2020,other,n,,
School,00486,Butte,Biggs Unified,Biggs High,39.416091,-121.706425,3046 Second St.,Biggs,CA,95917-9732,place,n,,
School,00815,Butte,Chico Unified,Chico High,39.735929,-121.844528,901 Esplanade,Chico,CA,95926-3908,place,y,,
School,00827,Butte,Chico Unified,Pleasant Valley High,39.76116,-121.817136,1475 East Ave.,Chico,CA,95926-1699,place,n,,
